Feature,Mean_Abs_SHAP
Temperature (K),0.20195459623024192
Deviation in Covalent Radius,0.14878502452807407
Average Total Valence Electrons,0.028058554321837105
Average Ground-State Band Gap,0.025325866786107494
Range of Total Valence Electrons,0.022397575820587
Deviation in Mendeleev Number,0.021620011223630782
Deviation in Electronegativity,0.013574913616015401
Deviation in Atomic Weight,0.013277578376326695
Average Periodic Table Group,0.010739221313658565
Deviation in Space Group Number,0.010712038681495102
Average d-Valence Electrons,0.01038171375904489
Average Ground-State Volume per Atom,0.009147778397324061
Deviation in Total Unfilled Orbital Electrons,0.008993684413227076
Average Space Group Number,0.00872448177483866
Deviation in Total Valence Electrons,0.008475702281663115
Deviation in Atomic Number,0.008079408759179103
Range of Ground-State Volume per Atom,0.0072036812284979775
Minimum Melting Point,0.00705557906096528
Average Mendeleev Number,0.00681673121440875
Deviation in Ground-State Volume per Atom,0.006525347298089176
Average Covalent Radius,0.006366679347982008
Deviation in Melting Point,0.0062872309210386225
Average Melting Point,0.005484963322800868
Average Atomic Weight,0.005323300059602745
Minimum Total Valence Electrons,0.005211371045039432
Minimum Ground-State Volume per Atom,0.0045873389319713775
Average Total Unfilled Orbital Electrons,0.004552119772596742
Deviation in Unfilled d-Orbital Electrons,0.004508378924110146
Range of Atomic Weight,0.0043180031201223495
Maximum Melting Point,0.0041407239879865795
Range of Melting Point,0.0040212442090596075
Maximum Electronegativity,0.003530721385179412
Most Common Space Group Number,0.003500642120191753
Average Electronegativity,0.0034508834321442636
Deviation in Periodic Table Period,0.0030915701461688796
Average Unfilled p-Orbital Electrons,0.0030444649037800918
Range of Atomic Number,0.002865388443295391
Deviation in Ground-State Band Gap,0.0028059812542648526
Average Atomic Number,0.0027980896694995406
Deviation in d-Valence Electrons,0.00263419409454985
Average p-Valence Electrons,0.0026086955140938927
Minimum Covalent Radius,0.0023955184651793006
Most Common Ground-State Volume per Atom,0.0023953941531648683
Range of Mendeleev Number,0.002287618546244189
Minimum Electronegativity,0.0021975051672495013
Deviation in Unfilled p-Orbital Electrons,0.002115286370503579
Average f-Valence Electrons,0.0020389735989736553
Range of Unfilled d-Orbital Electrons,0.0020375592873636337
Range of Space Group Number,0.0019026359470565195
Most Common Total Valence Electrons,0.0018707210701228414
Deviation in p-Valence Electrons,0.0018112348059017107
Maximum Space Group Number,0.0015235391143463358
Minimum Mendeleev Number,0.0015101748855686535
Range of Electronegativity,0.0014963590300653164
Most Common Mendeleev Number,0.0014246735075362819
Range of Covalent Radius,0.0013331542259038482
Range of Periodic Table Period,0.0013198762283160065
Average Unfilled d-Orbital Electrons,0.0012880457025500512
Range of Total Unfilled Orbital Electrons,0.0011844048171777747
Average Unfilled s-Orbital Electrons,0.0011431098416585354
Most Common Atomic Number,0.0011296753659449507
Average Unfilled f-Orbital Electrons,0.0011139669192631511
Range of d-Valence Electrons,0.0011112697973332086
Maximum Covalent Radius,0.0010715950721487282
Maximum Ground-State Volume per Atom,0.0010679509197227574
Most Common Ground-State Magnetic Moment,0.00089065978150524
Most Common d-Valence Electrons,0.0008843770603284025
Range of Ground-State Band Gap,0.0008559754950872788
Deviation in f-Valence Electrons,0.0008510842923619597
Average Periodic Table Period,0.0008213479914286042
Deviation in Ground-State Magnetic Moment,0.0007819195182939634
Deviation in Periodic Table Group,0.0007702971396342776
Most Common Melting Point,0.0007155975994920926
Maximum Unfilled d-Orbital Electrons,0.0007116301957170045
Minimum Space Group Number,0.0007014922661462851
Average s-Valence Electrons,0.000674686067752109
Maximum Total Unfilled Orbital Electrons,0.0005842211866882626
Deviation in Unfilled f-Orbital Electrons,0.000580315339017156
Maximum Atomic Number,0.0005730698007003663
Most Common Ground-State Band Gap,0.0005579591136358666
Most Common Covalent Radius,0.0004992038936952966
Maximum Total Valence Electrons,0.0004540680143394244
Maximum Unfilled p-Orbital Electrons,0.0004362161890162053
Deviation in Unfilled s-Orbital Electrons,0.0004054309622138007
Deviation in s-Valence Electrons,0.00038907906935682873
Minimum Total Unfilled Orbital Electrons,0.0003778681926246125
Most Common Periodic Table Group,0.0003489034288951066
Most Common p-Valence Electrons,0.00031797906348662554
Range of Periodic Table Group,0.0003074663065493363
Range of Unfilled s-Orbital Electrons,0.00026662058332311325
Average Ground-State Magnetic Moment,0.00025090592644454884
Most Common Unfilled s-Orbital Electrons,0.00021026501541335552
Maximum Mendeleev Number,0.00017074217760636992
Maximum Ground-State Band Gap,0.00015639555569222545
Most Common Total Unfilled Orbital Electrons,0.00015090932711586878
Minimum Atomic Weight,0.00012544486882559152
Maximum Unfilled s-Orbital Electrons,0.00010764206081032829
Most Common Electronegativity,0.0001038606174185788
Minimum p-Valence Electrons,0.00010300321569684576
Range of s-Valence Electrons,9.971973536438116e-05
Minimum Periodic Table Group,9.911687685386308e-05
Minimum Atomic Number,7.027420215720611e-05
Minimum d-Valence Electrons,5.97714353933406e-05
Most Common Atomic Weight,5.8685607651680165e-05
